group	city	state	slug	lat	long	credit-overall	credit-non-white	credit-white	debt-percent	debt-amount	foreclosure	cost-burdened	eitc	unbanked	health-insured	health-uninsured	low-income	unemployment	labor-force-participation	gini	pop-change
1	San Francisco	 CA	san-francisco-ca	37.774929	-122.419416	732	714	746	0.165210336	1068	0.000384911	0.7249704	0.224726796	0.020999999	0.874780774	0.125219226	0.252877921	0.051044408	0.701539814	0.520799994	0.113401905
1	San Jose	 CA	san-jose-ca	37.338208	-121.886329	714	693	746	0.211055845	1272	0.002759659	0.812631667	0.253549486	0.05	0.873111248	0.126888752	0.247368991	0.061257947	0.673335731	0.453900009	0.147468612
1	Seattle	 WA	seattle-wa	47.606209	-122.332071	731	668	734	0.187110841	1083.5	0.001528585	0.754802346	0.181521043	0.025999999	0.881601334	0.118398666	0.230122373	0.048110973	0.735362411	0.475699991	0.214899868
1	Honolulu	 HI	honolulu-hi	21.306944	-157.858333	720	722		0.19342865	1148	0.000729395	0.812163651	0.255358338	0.016	0.893661022	0.106338978	0.259336233	0.036000669	0.653830886	0.458799988	
2	Washington	 DC	washington-dc	38.907192	-77.036871	671	617.5	739	0.344150215	980	0.003762935	0.769580662	0.321136266	0.039000001	0.896503925	0.103496075	0.305577964	0.072506383	0.697578549	0.535399973	0.175102562
2	Boston	 MA	boston-ma	42.360082	-71.05888	716	632	723	0.195821062	645	0	0.787071526	0.285537273	0.025999999	0.90469408	0.09530592	0.364564836	0.06673833	0.691834152	0.54549998	0.136347666
2	Los Angeles	 CA	los-angeles-ca	34.052234	-118.243685	663	633	714	0.359999031	1258	0.002317253	0.842568159	0.348232716	0.086000004	0.8110798	0.1889202	0.437278271	0.072462328	0.657591343	0.530499995	0.074990392
2	New York	 NY	new-york-ny	40.713425	-74.005524	708	648	740	0.205492511	963	0.001712329	0.804512739	0.399593651	0.088999996	0.851334453	0.148665547	0.391023785	0.074458286	0.637934029	0.551400006	0.067695826
2	Oakland	 CA	oakland-ca	37.804364	-122.271114	668	624	759.5	0.342588812	1011	0.000866551	0.789895952	0.324510008	0.020999999	0.849404931	0.150595069	0.4068771	0.070230238	0.683467925	0.506900012	0.049548917
2	Minneapolis	 MN	minneapolis-mn	44.977753	-93.265011	701	570	728	0.24052076	1093	0.001944769	0.708160758	0.272875249	0.045	0.855139077	0.144860923	0.377207309	0.056766484	0.750767291	0.506399989	0.074008539
2	Portland	 OR	portland-or	45.523062	-122.676482	709	**	718	0.255557925	1412	0.00166159	0.743303537	0.257168353	0.05	0.856654704	0.143345296	0.328133374	0.06456998	0.696266592	0.476799995	0.194787204
2	Omaha	 NE	omaha-ne	41.252363	-95.997988	689	586	720	0.259664148	1536.5	0.002347418	0.63575381	0.288478047	0.029000001	0.854971349	0.145028651	0.357290268	0.041177161	0.690490067	0.479600012	0.138151363
2	Albuquerque	 NM	albuquerque-nm	35.085334	-106.605553	667	626	732	0.375893772	1438	0.003671072	0.644341767	0.318837255	0.086000004	0.853014529	0.146985471	0.399145573	0.066812217	0.631287098	0.477800012	0.246371552
2	Sacramento	 CA	sacramento-ca	38.581572	-121.4944	662	644	679	0.365286142	1761	0.001564945	0.738018632	0.366957456	0.035	0.876030922	0.123969078	0.418398529	0.082355767	0.620937645	0.468800008	0.205634639
3	Des Moines	 IA	des-moines-ia	41.600545	-93.609106	670	552	675	0.325355083	1117	0.00308642	0.519219875	0.314944953	0.068000002	0.86284554	0.13715446	0.392166525	0.073641427	0.715648055	0.469199985	0.058560915
3	Louisville	 KY	louisville-ky	38.252665	-85.758456	668	544	690	0.411188155	1449	0.003709949	0.574884534	0.338536203	0.101000004	0.893264651	0.106735349	0.357359976	0.065584585	0.643551946	0.476200014	
3	Columbus	 OH	columbus-oh	39.961176	-82.998794	647	560.5	668	0.433956325	1375.5	0.003633061	0.652166009	0.323114008	0.014	0.848624647	0.151375353	0.411489695	0.065511078	0.702313483	0.442099988	0.193398178
3	Kansas City	 MO	kansas-city-mo	39.099727	-94.578567	660	552	699	0.426211864	1642	0.004212744	0.600654006	0.329402268	0.05	0.822428882	0.177571118	0.359646738	0.051565159	0.676555514	0.474900007	0.076585628
3	Milwaukee	 WI	milwaukee-wi	43.038902	-87.906474	627	567	699	0.471153855	1870.5	0.006027122	0.691994727	0.378649056	0.070999999	0.852084458	0.147915542	0.516718864	0.086690083	0.654667318	0.471899986	0.005326865
3	Lansing	 MI	lansing-mi	42.732535	-84.555535	646		645	0.443065703	1651.5	0.001782531	0.612749279	0.354801178		0.876007318	0.123992682	0.529112577	0.082825027	0.661181927	0.450100005	-0.042122759
3	Indianapolis	 IN	indianapolis-in	39.768403	-86.158068	617	566	655	0.464438677	1515	0.003764116	0.609976232	0.349238634	0.085	0.831666827	0.168333173	0.423467189	0.082962655	0.673090994	0.481700003	0.085120291
4	Atlanta	 GA	atlanta-ga	33.748995	-84.387982	650	560	727	0.407215416	1804	0.002794411	0.693250895	0.405052423	0.07	0.825609326	0.174390674	0.396872759	0.07382863	0.654929698	0.571200013	0.113815024
4	Chicago	 IL	chicago-il	41.878114	-87.629798	656	586	732	0.399005741	1250	0.004587156	0.744941413	0.366966456	0.081000004	0.837601542	0.162398458	0.417426527	0.094960459	0.659627199	0.531400025	-0.060586683
4	Buffalo	 NY	buffalo-ny	42.886447	-78.878369	654.5	563	693	0.390793025	1728	0.004945599	0.608983815	0.401454389	0.083999996	0.898776114	0.101223886	0.530843556	0.072743826	0.586517274	0.501800001	-0.11816927
4	Pittsburgh	 PA	pittsburgh-pa	40.440625	-79.995886	707	590.5	720	0.282543987	1476.5	0.002298851	0.597100437	0.258256614	0.073000002	0.892601192	0.107398808	0.418849736	0.070132218	0.613948703	0.538800001	-0.090201251
4	St Louis	 MO	st-louis-mo	38.627003	-90.199404	665	552	732	0.422538072	1687	0.002836432	0.636476874	0.398667127	0.08	0.826578975	0.173421025	0.454997271	0.095118217	0.652435005	0.509899974	-0.093351603
4	Wilmington	 DE	wilmington-de	39.739072	-75.539788	675	554	722	0.383814096	1414	0.005319149	0.714362502	0.424937218	0.040999999	0.877502859	0.122497141	0.503116846	0.058623943	0.599861979	0.546800017	-0.009729715
4	Cincinnati	 OH	cincinnati-oh	39.103118	-84.51202	672	572	693	0.361456901	1644	0.001997337	0.633217275	0.361731797	0.078000002	0.881028652	0.118971348	0.49552536	0.10489814	0.64011091	0.540700018	-0.098851442
5	Austin	 TX	austin-tx	30.267153	-97.743061	675	582	732	0.373427182	1462	0.001074402	0.778730929	0.259716123	0.086000004	0.774177969	0.225822031	0.328262568	0.041709896	0.733665407	0.487199992	0.419271916
5	Nashville	 TN	nashville-tn	36.162664	-86.781602	665	559	706	0.379869729	1245.5	0.000626174	0.642859459	0.315308422	0.098999996	0.819409966	0.180590034	0.376834989	0.049253594	0.70504415	0.473500013	0.199939877
5	Orlando	 FL	orlando-fl	28.538335	-81.379236	642	590	676	0.469703168	1521	0.005655356	0.768500388	0.407303482	0.043000002	0.774503231	0.225496769	0.434981167	0.072157711	0.723382175	0.486000001	0.456926823
