group,city,credit_score,credit_score_nonWhite,credit_score_white,delinquint_debt,delinquint_debt_amount,mortgate_foreclosure,housing_cost_burdened,eitc,unbanked,no_health_insurance,low_income,unemployment_rate,labor_force_participation,gini,pop_change_00-15
1,"San Francisco, CA",732,714,746,0.165210336,1068,0.000384911,0.7249704,0.224726796,0.020999999,0.125219226,0.252877921,0.051044408,0.701539814,0.520799994,0.113401905
1,"San Jose, CA",714,691,746,0.211055845,1272,0.002759659,0.812631667,0.253549486,0.05,0.126888752,0.247368991,0.061257947,0.673335731,0.453900009,0.147468612
1,"Seattle, WA",731,663,733,0.187110841,1083.5,0.001528585,0.754802346,0.181521043,0.025999999,0.118398666,0.230122373,0.048110973,0.735362411,0.475699991,0.214899868
1,"Honolulu, HI",720,716,,0.19342865,1148,0.000729395,0.812163651,0.255358338,0.016,0.106338978,0.259336233,0.036000669,0.653830886,0.458799988,
2,"Washington, DC",671,617,739,0.344150215,980,0.003762935,0.769580662,0.321136266,0.039000001,0.103496075,0.305577964,0.072506383,0.697578549,0.535399973,0.175102562
2,"Boston, MA",716,632,722,0.195821062,645,0,0.787071526,0.285537273,0.025999999,0.09530592,0.364564836,0.06673833,0.691834152,0.54549998,0.136347666
2,"Los Angeles, CA",663,622,713,0.359999031,1258,0.002317253,0.842568159,0.348232716,0.086000004,0.1889202,0.437278271,0.072462328,0.657591343,0.530499995,0.074990392
2,"New York, NY",708,647,740,0.205492511,963,0.001712329,0.804512739,0.399593651,0.088999996,0.148665547,0.391023785,0.074458286,0.637934029,0.551400006,0.067695826
2,"Oakland, CA",668,628,759,0.342588812,1011,0.000866551,0.789895952,0.324510008,0.020999999,0.150595069,0.4068771,0.070230238,0.683467925,0.506900012,0.049548917
3,"Des Moines, IA",670,552,678,0.325355083,1117,0.00308642,0.519219875,0.314944953,0.068000002,0.13715446,0.392166525,0.073641427,0.715648055,0.469199985,0.058560915
3,"Louisville, KY",668,543,717,0.411188155,1449,0.003709949,0.574884534,0.338536203,0.101000004,0.106735349,0.357359976,0.065584585,0.643551946,0.476200014,
3,"Minneapolis, MN",701,556,728,0.24052076,1093,0.001944769,0.708160758,0.272875249,0.045,0.144860923,0.377207309,0.056766484,0.750767291,0.506399989,0.074008539
3,"Portland, OR",709,,727,0.255557925,1412,0.00166159,0.743303537,0.257168353,0.05,0.143345296,0.328133374,0.06456998,0.696266592,0.476799995,0.194787204
3,"Columbus, OH",647,567,672,0.433956325,1375.5,0.003633061,0.652166009,0.323114008,0.014,0.151375353,0.411489695,0.065511078,0.702313483,0.442099988,0.193398178
3,"Kansas City, MO",660,552,690,0.426211864,1642,0.004212744,0.600654006,0.329402268,0.05,0.177571118,0.359646738,0.051565159,0.676555514,0.474900007,0.076585628
3,"Omaha, NE",689,586,720,0.259664148,1536.5,0.002347418,0.63575381,0.288478047,0.029000001,0.145028651,0.357290268,0.041177161,0.690490067,0.479600012,0.138151363
4,"Atlanta, GA",650,560,730,0.407215416,1804,0.002794411,0.693250895,0.405052423,0.07,0.174390674,0.396872759,0.07382863,0.654929698,0.571200013,0.113815024
4,"Chicago, IL",656,585,729,0.399005741,1250,0.004587156,0.744941413,0.366966456,0.081000004,0.162398458,0.417426527,0.094960459,0.659627199,0.531400025,-0.060586683
4,"Buffalo, NY",654.5,559,691,0.390793025,1728,0.004945599,0.608983815,0.401454389,0.083999996,0.101223886,0.530843556,0.072743826,0.586517274,0.501800001,-0.11816927
4,"Pittsburgh, PA",707,597,725,0.282543987,1476.5,0.002298851,0.597100437,0.258256614,0.073000002,0.107398808,0.418849736,0.070132218,0.613948703,0.538800001,-0.090201251
4,"St Louis, MO",665,552,741,0.422538072,1687,0.002836432,0.636476874,0.398667127,0.08,0.173421025,0.454997271,0.095118217,0.652435005,0.509899974,-0.093351603
